Rms,EventID,Location,Latitude,Longitude,Depth,Type,Magnitude,Country,Province,District,Neighborhood,Date,isEventUpdate,lastUpdateDate
0.17,638153,Haymana (Ankara),39.08861,32.47861,9.22,ML,1,Türkiye,Ankara,Haymana,Tepeköy,9/15/2024 6:39:22 AM,False,
0.36,638159,Bala (Ankara),39.345,33.42167,5.89,ML,1,Türkiye,Ankara,Bala,Tepeköy,9/15/2024 9:08:55 AM,False,
0.31,638202,Sulakyurt (Kırıkkale),40.23583,33.90417,7,ML,1.3,Türkiye,Kırıkkale,Sulakyurt,Ayvatlı,9/16/2024 9:03:48 AM,False,
0.42,638203,Kalecik (Ankara),40.20306,33.45139,7,ML,1.4,Türkiye,Ankara,Kalecik,Hacıköy,9/16/2024 10:40:00 AM,False,
0.22,638205,Bala (Ankara),39.28333,33.15333,7.15,ML,1.6,Türkiye,Ankara,Bala,Sofular,9/16/2024 12:08:54 PM,False,
0.3,638212,Gerede (Bolu),40.73417,32.3225,7,ML,1.5,Türkiye,Bolu,Gerede,Zeyneller,9/16/2024 2:49:16 PM,False,
0.31,638285,Çelebi (Kırıkkale),39.44639,33.45028,7,ML,0.9,Türkiye,Kırıkkale,Çelebi,Halildede,9/17/2024 7:20:07 AM,False,
0.18,638449,Çerkeş (Çankırı),40.72056,32.84861,6.94,ML,1.1,Türkiye,Çankırı,Çerkeş,Elpirek,9/19/2024 11:44:19 PM,False,
0.53,638466,Haymana (Ankara),39.07056,32.49417,7.13,ML,1.3,Türkiye,Ankara,Haymana,Tepeköy,9/20/2024 5:51:59 AM,False,
0.18,638549,Keskin (Kırıkkale),39.60444,33.48778,9.81,ML,0.8,Türkiye,Kırıkkale,Keskin,Haydardede,9/21/2024 11:15:37 AM,False,
0.63,638550,Çubuk (Ankara),40.15389,32.91917,7.04,ML,1.5,Türkiye,Ankara,Çubuk,Kızılca,9/21/2024 12:11:10 PM,False,
0.41,638565,Şabanözü (Çankırı),40.43444,33.40472,6.85,ML,1.7,Türkiye,Çankırı,Şabanözü,Martköy,9/21/2024 3:56:04 PM,False,
0.66,638711,Mamak (Ankara),39.84389,32.97194,7,ML,0.9,Türkiye,Ankara,Mamak,Zirvekent,9/23/2024 2:21:53 PM,False,
0.39,638775,Bala (Ankara),39.32111,33.145,7,ML,1,Türkiye,Ankara,Bala,Sofular,9/24/2024 1:19:56 PM,False,
0.51,638795,Çerkeş (Çankırı),40.72917,33.01139,11.62,ML,1.6,Türkiye,Çankırı,Çerkeş,Güzelyurt,9/24/2024 8:48:32 PM,False,
0.38,638827,Korgun (Çankırı),40.74833,33.47972,7,ML,1,Türkiye,Çankırı,Korgun,Uludağ,9/25/2024 8:38:52 AM,False,
0.39,638836,Merkez (Kırıkkale),40.01167,33.53694,6.7,ML,1,Türkiye,Kırıkkale,Merkez,Keçili,9/25/2024 10:39:18 AM,False,
0.44,638896,Çubuk (Ankara),40.16278,32.9075,7,ML,1.4,Türkiye,Ankara,Çubuk,İkipınar,9/26/2024 11:32:54 AM,False,
0.5,638933,Şabanözü (Çankırı),40.45778,33.4425,4.71,ML,0.8,Türkiye,Çankırı,Şabanözü,Akbulut,9/26/2024 8:30:25 PM,False,
0.47,638973,Çerkeş (Çankırı),40.69083,33.00917,6.96,ML,1.1,Türkiye,Çankırı,Çerkeş,Hacılar,9/27/2024 5:28:57 AM,False,
0.42,639006,Elmadağ (Ankara),40.05472,33.22417,6.98,ML,2.5,Türkiye,Ankara,Elmadağ,Hasanoğlan Havuzbaşı,9/27/2024 5:15:20 PM,True,9/27/2024 5:25:03 PM
0.21,639059,Bala (Ankara),39.32694,33.42167,5,ML,0.9,Türkiye,Ankara,Bala,Küçükcamili,9/28/2024 10:05:10 AM,False,
0.23,639225,Tuz Gölü - [09.88 km] Şereflikoçhisar (Ankara),39.05333,33.39667,7.01,ML,1.2,Türkiye,Ankara,Şereflikoçhisar,Hacıbektaşlı,10/1/2024 1:35:19 AM,False,
0.49,639254,Çerkeş (Çankırı),40.71194,32.89139,6.96,ML,1.3,Türkiye,Çankırı,Çerkeş,Elpirek,10/1/2024 11:32:18 AM,False,
0.24,639321,Bala (Ankara),39.33556,33.34,9.4,ML,1,Türkiye,Ankara,Bala,Küçükcamili,10/2/2024 9:40:12 AM,False,
0.11,639370,Çelebi (Kırıkkale),39.45139,33.39861,7,ML,1.1,Türkiye,Kırıkkale,Çelebi,Kaldırım,10/3/2024 9:27:23 AM,False,
0.23,639371,Çelebi (Kırıkkale),39.47278,33.51028,7.01,ML,1.4,Türkiye,Kırıkkale,Çelebi,Barbaros,10/3/2024 9:30:26 AM,False,
0.15,639507,Kızılcahamam (Ankara),40.63417,32.84694,6.43,ML,0.9,Türkiye,Ankara,Kızılcahamam,Ortaköy,10/5/2024 9:23:33 PM,False,
0.56,639562,Kulu (Konya),39.09278,33.12111,7,ML,1.6,Türkiye,Konya,Kulu,Cumhuriyet,10/6/2024 10:28:54 PM,False,
0.59,639662,Beypazarı (Ankara),40.11444,32.00917,7.02,ML,2,Türkiye,Ankara,Beypazarı,Akçakavak,10/8/2024 9:53:56 AM,False,
0.35,639912,Gölbaşı (Ankara),39.45889,32.895,9.63,ML,1.5,Türkiye,Ankara,Gölbaşı,Çimşit,10/12/2024 2:54:17 PM,False,
0.38,639913,Gölbaşı (Ankara),39.46556,32.89361,8.8,ML,1.6,Türkiye,Ankara,Gölbaşı,Çimşit,10/12/2024 2:23:15 PM,False,
0.63,639930,Bala (Ankara),39.46889,32.92639,7.02,ML,1.8,Türkiye,Ankara,Bala,Ahmetçayırı,10/12/2024 10:52:32 PM,False,
0.52,640022,Mamak (Ankara),39.87361,32.99111,8.32,ML,1,Türkiye,Ankara,Mamak,Kıbrıs,10/14/2024 3:31:42 PM,False,
0.38,640425,Bala (Ankara),39.35139,33.42417,7,ML,1.1,Türkiye,Ankara,Bala,Tepeköy,10/17/2024 9:11:26 AM,False,
0.35,640456,Çubuk (Ankara),40.21556,32.835,7,ML,1.3,Türkiye,Ankara,Çubuk,Yakuphasan,10/17/2024 12:42:25 PM,False,
0.21,640537,Hirfanlı Barajı - [01.91 km] Merkez (Kırşehir),39.12667,33.70611,7,ML,1.1,Türkiye,Kırşehir,Merkez,Kayabaşı,10/18/2024 7:21:13 AM,False,
0.48,640648,Polatlı (Ankara),39.68667,32.26056,6.45,ML,2,Türkiye,Ankara,Polatlı,Yenidoğan,10/19/2024 10:35:38 AM,False,
0.15,640687,Sulakyurt (Kırıkkale),40.18806,33.82639,7,ML,0.9,Türkiye,Kırıkkale,Sulakyurt,Sarıkızlı,10/19/2024 8:02:04 PM,False,
0.28,640696,Delice (Kırıkkale),39.93972,33.93833,8.95,ML,1.2,Türkiye,Kırıkkale,Delice,Fadılobası,10/19/2024 10:04:32 PM,False,
0.07,640962,Şereflikoçhisar (Ankara),39.20222,33.22139,6.99,ML,1,Türkiye,Ankara,Şereflikoçhisar,Büyükkışla,10/23/2024 6:28:47 AM,False,
